TIME,GEO,CITIZEN,SEX,AGE,ASYL_APP,UNIT,Value,Flag and Footnotes
2012,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
2013,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
2014,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
2015,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
2016,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,75,
2017,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,145,
2018,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,145,
2009,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,210,
2010,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,370,
2011,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,405,
2012,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,560,
2013,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,250,
2014,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,385,
2015,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,275,
2016,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,415,
2017,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,520,
2018,Lithuania,Extra-EU28,Total,Total,First time applicant,Person,385,
2009,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"1,915",
2012,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"2,000",
2013,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,990,
2014,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"1,030",
2015,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"2,360",
2016,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"2,065",
2017,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"2,320",
2018,Luxembourg,Extra-EU28,Total,Total,First time applicant,Person,"2,225",
2009,Malta,Extra-EU28,Total,Total,First time applicant,Person,"2,385",
2010,Malta,Extra-EU28,Total,Total,First time applicant,Person,145,
2011,Malta,Extra-EU28,Total,Total,First time applicant,Person,"1,865",
2012,Malta,Extra-EU28,Total,Total,First time applicant,Person,"2,060",
2013,Malta,Extra-EU28,Total,Total,First time applicant,Person,"2,200",
2014,Malta,Extra-EU28,Total,Total,First time applicant,Person,"1,275",
2015,Malta,Extra-EU28,Total,Total,First time applicant,Person,"1,695",
2016,Malta,Extra-EU28,Total,Total,First time applicant,Person,"1,735",
2017,Malta,Extra-EU28,Total,Total,First time applicant,Person,"1,610",
2018,Malta,Extra-EU28,Total,Total,First time applicant,Person,"2,035",
2009,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"14,880",
2010,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"13,290",
2011,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"11,560",
2012,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"9,660",p
2013,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"9,815",
2014,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"21,780",
2015,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"43,035",
2016,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"19,285",
2017,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"16,090",
2018,Netherlands,Extra-EU28,Total,Total,First time applicant,Person,"20,465",
2009,Norway,Extra-EU28,Total,Total,First time applicant,Person,"16,470",
2010,Norway,Extra-EU28,Total,Total,First time applicant,Person,"9,270",
2011,Norway,Extra-EU28,Total,Total,First time applicant,Person,"8,520",
2012,Norway,Extra-EU28,Total,Total,First time applicant,Person,"9,210",
2013,Norway,Extra-EU28,Total,Total,First time applicant,Person,"11,430",
2014,Norway,Extra-EU28,Total,Total,First time applicant,Person,"10,910",
2015,Norway,Extra-EU28,Total,Total,First time applicant,Person,"30,470",
2016,Norway,Extra-EU28,Total,Total,First time applicant,Person,"3,240",
2017,Norway,Extra-EU28,Total,Total,First time applicant,Person,"3,350",
2018,Norway,Extra-EU28,Total,Total,First time applicant,Person,"2,530",
2009,Poland,Extra-EU28,Total,Total,First time applicant,Person,"9,655",
2010,Poland,Extra-EU28,Total,Total,First time applicant,Person,"4,330",
2011,Poland,Extra-EU28,Total,Total,First time applicant,Person,"4,985",
2012,Poland,Extra-EU28,Total,Total,First time applicant,Person,"9,175",
2013,Poland,Extra-EU28,Total,Total,First time applicant,Person,"13,970",
2014,Poland,Extra-EU28,Total,Total,First time applicant,Person,"5,610",
2015,Poland,Extra-EU28,Total,Total,First time applicant,Person,"10,255",
2016,Poland,Extra-EU28,Total,Total,First time applicant,Person,"9,780",
2017,Poland,Extra-EU28,Total,Total,First time applicant,Person,"3,005",
2018,Poland,Extra-EU28,Total,Total,First time applicant,Person,"2,405",
2009,Portugal,Extra-EU28,Total,Total,First time applicant,Person,140,
2010,Portugal,Extra-EU28,Total,Total,First time applicant,Person,155,
2011,Portugal,Extra-EU28,Total,Total,First time applicant,Person,275,
2012,Portugal,Extra-EU28,Total,Total,First time applicant,Person,290,
2013,Portugal,Extra-EU28,Total,Total,First time applicant,Person,500,
2014,Portugal,Extra-EU28,Total,Total,First time applicant,Person,440,
2015,Portugal,Extra-EU28,Total,Total,First time applicant,Person,870,
2016,Portugal,Extra-EU28,Total,Total,First time applicant,Person,710,
2017,Portugal,Extra-EU28,Total,Total,First time applicant,Person,"1,015",
2018,Portugal,Extra-EU28,Total,Total,First time applicant,Person,"1,240",
2009,Romania,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Romania,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Romania,Extra-EU28,Total,Total,First time applicant,Person,"1,695",
2012,Romania,Extra-EU28,Total,Total,First time applicant,Person,"2,420",
2013,Romania,Extra-EU28,Total,Total,First time applicant,Person,"1,405",
2014,Romania,Extra-EU28,Total,Total,First time applicant,Person,"1,500",
2015,Romania,Extra-EU28,Total,Total,First time applicant,Person,"1,225",
2016,Romania,Extra-EU28,Total,Total,First time applicant,Person,"1,855",
2017,Romania,Extra-EU28,Total,Total,First time applicant,Person,"4,700",
2018,Romania,Extra-EU28,Total,Total,First time applicant,Person,"1,945",
2009,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,315,
2011,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,320,
2012,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,550,
2013,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,290,
2014,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,230,
2015,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,270,
2016,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,100,
2017,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,150,
2018,Slovakia,Extra-EU28,Total,Total,First time applicant,Person,155,
2009,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,175,
2010,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,195,
2011,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,305,
2012,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,260,
2013,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,240,
2014,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,355,
2015,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,260,
2016,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,"1,265",
2017,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,"1,435",
2018,Slovenia,Extra-EU28,Total,Total,First time applicant,Person,"2,800",
2009,Spain,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Spain,Extra-EU28,Total,Total,First time applicant,Person,"2,550",
2011,Spain,Extra-EU28,Total,Total,First time applicant,Person,"2,970",
2012,Spain,Extra-EU28,Total,Total,First time applicant,Person,"2,350",
2013,Spain,Extra-EU28,Total,Total,First time applicant,Person,"4,285",
2014,Spain,Extra-EU28,Total,Total,First time applicant,Person,"5,460",
2015,Spain,Extra-EU28,Total,Total,First time applicant,Person,"14,600",
2016,Spain,Extra-EU28,Total,Total,First time applicant,Person,"15,570",
2017,Spain,Extra-EU28,Total,Total,First time applicant,Person,"33,035",
